time,Engine-RPM,Fault Type
7.098,783,noise
7.099,783,noise
7.1,783,noise
7.101,783,noise
7.102,783,noise
7.103,783,noise
7.104,783,noise
7.105,783,noise
7.106,783,noise
7.107,824,noise
7.108,824,noise
7.109,824,noise
7.11,824,noise
7.111,824,noise
7.112,824,noise
7.113,824,noise
7.114,824,noise
7.115,824,noise
7.116,824,noise
7.117,828,noise
7.118,828,noise
7.119,828,noise
7.12,828,noise
7.121,828,noise
7.122,828,noise
7.123,828,noise
7.124,828,noise
7.125,828,noise
7.126,828,noise
7.127,876,noise
7.128,876,noise
7.129,876,noise
7.13,876,noise
7.131,876,noise
7.132,876,noise
7.133,876,noise
7.134,876,noise
7.135,876,noise
7.136,876,noise
7.137,914,noise
7.138,914,noise
7.139,914,noise
7.14,914,noise
7.141,914,noise
7.142,914,noise
7.143,914,noise
7.144,914,noise
7.145,914,noise
7.146,914,noise
7.147,911,noise
7.148,911,noise
7.149,911,noise
7.15,911,noise
7.151,911,noise
7.152,911,noise
7.153,911,noise
7.154,911,noise
7.155,911,noise
7.156,911,noise
7.157,913,noise
7.158,913,noise
7.159,913,noise
7.16,913,noise
7.161,913,noise
7.162,913,noise
7.163,913,noise
7.164,913,noise
7.165,913,noise
7.166,913,noise
7.167,918,noise
7.168,918,noise
7.169,918,noise
7.17,918,noise
7.171,918,noise
7.172,918,noise
7.173,918,noise
7.174,918,noise
7.175,918,noise
7.176,918,noise
7.177,961,noise
7.178,961,noise
7.179,961,noise
7.18,961,noise
7.181,961,noise
7.182,961,noise
7.183,961,noise
7.184,961,noise
7.185,961,noise
7.186,961,noise
7.187,967,noise
7.188,967,noise
7.189,967,noise
7.19,967,noise
7.191,967,noise
7.192,967,noise
7.193,967,noise
7.194,967,noise
7.195,967,noise
7.196,967,noise
7.197,1039,noise
7.198,1039,noise
7.199,1039,noise
7.2,1039,noise
7.201,1039,noise
7.202,1039,noise
7.203,1039,noise
7.204,1039,noise
7.205,1039,noise
7.206,1039,noise
7.207,1048,noise
7.208,1048,noise
7.209,1048,noise
7.21,1048,noise
7.211,1048,noise
7.212,1048,noise
7.213,1048,noise
7.214,1048,noise
7.215,1048,noise
7.216,1048,noise
7.217,1110,noise
7.218,1110,noise
7.219,1110,noise
7.22,1110,noise
7.221,1110,noise
7.222,1110,noise
7.223,1110,noise
7.224,1110,noise
7.225,1110,noise
7.226,1110,noise
7.227,1126,noise
7.228,1126,noise
7.229,1126,noise
7.23,1126,noise
7.231,1126,noise
7.232,1126,noise
7.233,1126,noise
7.234,1126,noise
7.235,1126,noise
7.236,1126,noise
7.237,1172,noise
7.238,1172,noise
7.239,1172,noise
7.24,1172,noise
7.241,1172,noise
7.242,1172,noise
7.243,1172,noise
7.244,1172,noise
7.245,1172,noise
7.246,1172,noise
7.247,1210,noise
7.248,1210,noise
7.249,1210,noise
7.25,1210,noise
7.251,1210,noise
7.252,1210,noise
7.253,1210,noise
7.254,1210,noise
7.255,1210,noise
7.256,1210,noise
7.257,1232,noise
7.258,1232,noise
7.259,1232,noise
7.26,1232,noise
7.261,1232,noise
7.262,1232,noise
7.263,1232,noise
7.264,1232,noise
7.265,1232,noise
7.266,1232,noise
7.267,1284,noise
7.268,1284,noise
7.269,1284,noise
7.27,1284,noise
7.271,1284,noise
7.272,1284,noise
7.273,1284,noise
7.274,1284,noise
7.275,1284,noise
7.276,1284,noise
7.277,1299,noise
7.278,1299,noise
7.279,1299,noise
7.28,1299,noise
7.281,1299,noise
7.282,1299,noise
7.283,1299,noise
7.284,1299,noise
7.285,1299,noise
7.286,1299,noise
7.287,1325,noise
7.288,1325,noise
7.289,1325,noise
7.29,1325,noise
7.291,1325,noise
7.292,1325,noise
7.293,1325,noise
7.294,1325,noise
7.295,1325,noise
7.296,1325,noise
7.297,1333,noise
7.298,1333,noise
7.299,1333,noise
7.3,1333,noise
7.301,1333,noise
7.302,1333,noise
7.303,1333,noise
7.304,1333,noise
7.305,1333,noise
7.306,1333,noise
7.307,1334,noise
7.308,1334,noise
7.309,1334,noise
7.31,1334,noise
7.311,1334,noise
7.312,1334,noise
7.313,1334,noise
7.314,1334,noise
7.315,1334,noise
7.316,1334,noise
7.317,1341,noise
7.318,1341,noise
7.319,1341,noise
7.32,1341,noise
7.321,1341,noise
7.322,1341,noise
7.323,1341,noise
7.324,1341,noise
7.325,1341,noise
7.326,1341,noise
7.327,1348,noise
7.328,1348,noise
7.329,1348,noise
7.33,1348,noise
7.331,1348,noise
7.332,1348,noise
7.333,1348,noise
7.334,1348,noise
7.335,1348,noise
7.336,1348,noise
7.337,1347,noise
7.338,1347,noise
7.339,1347,noise
7.34,1347,noise
7.341,1347,noise
7.342,1347,noise
7.343,1347,noise
7.344,1347,noise
7.345,1347,noise
7.346,1347,noise
7.347,1351,noise
7.348,1351,noise
7.349,1351,noise
7.35,1351,noise
7.351,1351,noise
7.352,1351,noise
7.353,1351,noise
7.354,1351,noise
7.355,1351,noise
7.356,1351,noise
7.357,1357,noise
7.358,1357,noise
7.359,1357,noise
7.36,1357,noise
7.361,1357,noise
7.362,1357,noise
7.363,1357,noise
7.364,1357,noise
7.365,1357,noise
7.409,1384,noise
7.41,1384,noise
7.411,1384,noise
7.412,1384,noise
7.413,1384,noise
7.414,1384,noise
7.415,1384,noise
7.416,1384,noise
7.417,1406,noise
7.418,1406,noise
7.419,1406,noise
7.42,1406,noise
7.421,1406,noise
7.422,1406,noise
7.423,1406,noise
7.424,1406,noise
7.425,1406,noise
7.426,1406,noise
7.427,1421,noise
7.428,1421,noise
7.429,1421,noise
7.43,1421,noise
7.431,1421,noise
7.432,1421,noise
7.433,1421,noise
7.434,1421,noise
7.435,1421,noise
7.436,1421,noise
7.437,1430,noise
7.438,1430,noise
7.439,1430,noise
7.44,1430,noise
7.441,1430,noise
7.442,1430,noise
7.443,1430,noise
7.444,1430,noise
7.445,1430,noise
7.446,1430,noise
7.447,1454,noise
7.448,1454,noise
7.449,1454,noise
7.45,1454,noise
7.451,1454,noise
7.452,1454,noise
7.453,1454,noise
7.454,1454,noise
7.455,1454,noise
7.456,1454,noise
7.457,1483,noise
7.458,1483,noise
7.459,1483,noise
7.46,1483,noise
7.461,1483,noise
7.462,1483,noise
7.463,1483,noise
7.464,1483,noise
7.465,1483,noise
7.466,1483,noise
7.467,1498,noise
7.468,1498,noise
7.469,1498,noise
7.47,1498,noise
7.471,1498,noise
7.472,1498,noise
7.473,1498,noise
7.474,1498,noise
7.475,1498,noise
7.476,1498,noise
7.477,1512,noise
7.478,1512,noise
7.479,1512,noise
7.48,1512,noise
7.481,1512,noise
7.482,1512,noise
7.483,1512,noise
7.484,1512,noise
7.485,1512,noise
7.486,1512,noise
7.487,1538,noise
7.488,1538,noise
7.489,1538,noise
7.49,1538,noise
7.491,1538,noise
7.492,1538,noise
7.493,1538,noise
7.494,1538,noise
7.495,1538,noise
7.496,1538,noise
7.497,1563,noise
7.498,1563,noise
7.499,1563,noise
7.5,1563,noise
7.501,1563,noise
7.502,1563,noise
7.503,1563,noise
7.504,1563,noise
7.505,1563,noise
7.506,1563,noise
7.507,1576,noise
7.508,1576,noise
7.509,1576,noise
7.51,1576,noise
7.511,1576,noise
7.512,1576,noise
7.513,1576,noise
7.514,1576,noise
7.515,1576,noise
7.516,1576,noise
7.517,1585,noise
7.518,1585,noise
7.519,1585,noise
7.52,1585,noise
7.521,1585,noise
7.522,1585,noise
7.523,1585,noise
7.524,1585,noise
7.525,1585,noise
7.526,1585,noise
7.527,1598,noise
7.528,1598,noise
7.529,1598,noise
7.53,1598,noise
7.531,1598,noise
7.532,1598,noise
7.533,1598,noise
7.534,1598,noise
7.535,1598,noise
7.536,1598,noise
7.537,1613,noise
7.538,1613,noise
7.539,1613,noise
7.54,1613,noise
7.541,1613,noise
7.542,1613,noise
7.543,1613,noise
7.544,1613,noise
7.545,1613,noise
7.546,1613,noise
7.547,1623,noise
7.548,1623,noise
7.549,1623,noise
7.55,1623,noise
7.551,1623,noise
7.552,1623,noise
7.553,1623,noise
7.554,1623,noise
7.555,1623,noise
7.556,1623,noise
7.557,1626,noise
7.558,1626,noise
7.559,1626,noise
7.56,1626,noise
7.561,1626,noise
7.562,1626,noise
7.563,1626,noise
7.564,1626,noise
7.565,1626,noise
7.566,1626,noise
7.567,1629,noise
7.568,1629,noise
7.569,1629,noise
7.57,1629,noise
7.571,1629,noise
7.572,1629,noise
7.573,1629,noise
7.574,1629,noise
7.575,1629,noise
7.576,1629,noise
7.577,1633,noise
7.578,1633,noise
7.579,1633,noise
7.58,1633,noise
7.581,1633,noise
7.582,1633,noise
7.583,1633,noise
7.584,1633,noise
7.585,1633,noise
7.586,1633,noise
7.587,1640,noise
7.588,1640,noise
7.589,1640,noise
7.59,1640,noise
7.591,1640,noise
7.592,1640,noise
7.593,1640,noise
7.594,1640,noise
7.595,1640,noise
7.596,1640,noise
7.597,1645,noise
7.598,1645,noise
7.599,1645,noise
7.6,1645,noise
7.601,1645,noise
7.602,1645,noise
7.603,1645,noise
7.604,1645,noise
7.605,1645,noise
7.606,1645,noise
7.607,1649,noise
7.608,1649,noise
7.609,1649,noise
7.61,1649,noise
7.611,1649,noise
7.612,1649,noise
7.613,1649,noise
7.614,1649,noise
7.615,1649,noise
7.616,1649,noise
7.617,1650,noise
7.618,1650,noise
7.619,1650,noise
7.62,1650,noise
7.621,1650,noise
7.622,1650,noise
7.623,1650,noise
7.624,1650,noise
7.625,1650,noise
7.626,1650,noise
7.627,1652,noise
7.628,1652,noise
7.629,1652,noise
7.63,1652,noise
7.631,1652,noise
7.632,1652,noise
7.633,1652,noise
7.634,1652,noise
7.635,1652,noise
7.636,1652,noise
7.637,1658,noise
7.638,1658,noise
7.639,1658,noise
7.64,1658,noise
7.641,1658,noise
7.642,1658,noise
7.643,1658,noise
7.644,1658,noise
7.645,1658,noise
7.646,1658,noise
7.647,1667,noise
7.648,1667,noise
7.649,1667,noise
7.65,1667,noise
7.651,1667,noise
7.652,1667,noise
7.653,1667,noise
7.654,1667,noise
7.655,1667,noise
7.656,1667,noise
7.657,1675,noise
7.658,1675,noise
7.659,1675,noise
7.66,1675,noise
7.661,1675,noise
7.662,1675,noise
7.663,1675,noise
7.664,1675,noise
7.665,1675,noise
7.666,1675,noise
7.667,1681,noise
7.668,1681,noise
7.669,1681,noise
7.67,1681,noise
7.671,1681,noise
7.672,1681,noise
7.673,1681,noise
7.674,1681,noise
7.675,1681,noise
7.676,1681,noise
7.677,1685,noise
7.678,1685,noise
7.679,1685,noise
7.68,1685,noise
7.681,1685,noise
7.682,1685,noise
7.683,1685,noise
7.684,1685,noise
7.685,1685,noise
7.686,1685,noise
7.687,1690,noise
7.688,1690,noise
7.689,1690,noise
7.69,1690,noise
7.691,1690,noise
7.692,1690,noise
7.693,1690,noise
7.694,1690,noise
7.695,1690,noise
7.696,1690,noise
7.697,1697,noise
7.698,1697,noise
7.699,1697,noise
7.7,1697,noise
7.701,1697,noise
7.702,1697,noise
7.703,1697,noise
7.704,1697,noise
7.705,1697,noise
7.706,1697,noise
7.707,1707,noise
7.708,1707,noise
7.709,1707,noise
7.71,1707,noise
7.711,1707,noise
7.712,1707,noise
7.713,1707,noise
7.714,1707,noise
7.715,1707,noise
7.716,1707,noise
7.717,1716,noise
7.718,1716,noise
7.719,1716,noise
7.72,1716,noise
7.721,1716,noise
7.722,1716,noise
7.723,1716,noise
7.724,1716,noise
7.725,1716,noise
7.726,1716,noise
7.727,1723,noise
7.728,1723,noise
7.729,1723,noise
7.73,1723,noise
7.731,1723,noise
7.732,1723,noise
7.733,1723,noise
7.734,1723,noise
7.735,1723,noise
7.736,1723,noise
7.737,1726,noise
7.738,1726,noise
7.739,1726,noise
7.74,1726,noise
7.741,1726,noise
7.742,1726,noise
7.743,1726,noise
7.744,1726,noise
7.745,1726,noise
7.746,1726,noise
7.747,1727,noise
7.748,1727,noise
7.749,1727,noise
7.75,1727,noise
7.751,1727,noise
7.752,1727,noise
7.753,1727,noise
7.754,1727,noise
7.755,1727,noise
7.756,1727,noise
